"Papervision3D", "3D Engine", "http://blog.papervision3d.org/"
"Away 3D", "3d engine", "http://www.away3d.com/"
"Sandy 3D", "3d engine", "http://www.flashsandy.org/"
"Alternativa Platform", "3d engine", "http://blog.alternativaplatform.com/en/"
"FIVe3D", "3D Engine", "http://five3d.mathieu-badimon.com/"
"WireEngine3D", "A lightweight and fast 3D Engine for Flash 8/9.", "http://osflash.org/we3d/"
"Sharikura", "3d engine", "http://temp.roxik.com/datas/physics/"
"Infinity3d", "3d engine", "http://www.infinity3d-engine.com"
"PaperWorld 3D", "3D Game Engine", "http://paperworld3d.com/"
"Yogurt3D", "3D Game Engine", "http://www.yogurt3d.com/"
"FlashPunk", "Provide you with a fast, clean framework for prototyping and developing games.", "http://flashpunk.net/"
"flixel", "A collection of Actionscript 3 files that helps organize, automate, and optimize Flash games.", "http://flixel.org/"
"PixelBlitz Engine", "A game framework for Actionscript3", "http://www.photonstorm.com/pixelblitz-engine"
"PushButton Engine", "An Open Source, Flash game engine and framework that's designed for a new generation of games.", "http://pushbuttonengine.com/"
"as3isolib", "An open-source ActionScript 3.0 Isometric Library", "http://as3isolib.wordpress.com/"
"FFilmation", "AS3 Isometric Engine", "http://www.ffilmation.org/"
"isoengineas3", "Flash Isometric Engine AS3", "http://sourceforge.net/projects/isoengineas3/"
"Cast3D", "3D Animation Framework", "http://www.cast3d.org/"
"WOW-Engine", "3D Physics Engines", "http://seraf.mediabox.fr/wow-engine/"
"jiglibflash", "3D Physics Engines", "http://www.jiglibflash.com/blog/"
"FLARToolkit", "Augmented Reality", "http://www.libspark.org/wiki/saqoosha/FLARToolKit/en"
"FLARManager", "Augmented Reality", "http://words.transmote.com/wp/flarmanager/"
"ARtisan", "Augmented Reality", "http://onezerothrice.com/artisan/"
"Desuade Motion Package", "A breakthrough AS3 library that combines keyframe-sequencing, physics, and tweening.", "http://desuade.com/dmp"
"TweenLite", "Animation Tweening Engines", "http://blog.greensock.com/tweenliteas3/"
"TweenMax", "Animation Tweening Engines", "http://blog.greensock.com/tweenmaxas3/"
"Tweensy", "Animation Tweening Engines", "http://www.lostinactionscript.com/blog/index.php/2008/08/31/as3-tween-engine-tweensy-preview/"
"GoASAP", "Animation Tweening Engines", "http://www.goasap.org/"
"AS3 Animation System 2.0", "Animation Tweening Engines", "http://www.boostworthy.com/blog/?p=170"
"Animation Package", "Animation Tweening Engines", "http://www.alex-uhlmann.de/flash/animationpackage/"
"gTween", "Animation Tweening Engines", "http://www.gskinner.com/blog/archives/2008/08/gtween_a_new_tw.html"
"HydroTweenHydroSequence", "Animation Tweening Engines (based on GoASAP)", "http://blog.hydrotik.com/2008/07/19/hydrotween-hydrosequence-rev32/"
"AS3 Easing", "Animation Tweening Engines", "http://www.uza.lt/codex/as3-easing/"
"BetweenAS3", "Animation Tweening Engines", "http://www.be-interactive.org/works/20090428/slide_betweenas3.html"
"grape-as3", "Path-based ActionScript 3 Animation Tweening library", "http://blog.generalrelativity.org/actionscript-30/grape-animation-library/"
"RabbitTween", "A new fast and easy Animation Tweening engine for Flash AS3", "http://blog.open-design.be/2009/09/26/rabbittween-new-fast-and-easy-transitiontween-engine-for-flash-as3/"
"APE (Actionscript Physics Engine)", "2D Physics Engine", "http://www.cove.org/ape/index.htm"
"Box2DFlashAS3", "2D Physics Engine", "http://box2dflash.sourceforge.net/"
"motor2", "2D Physics Engine", "http://lab.polygonal.de/motor_physics/"
"Fisix Engine", "2D Physics Engine", "http://www.fisixengine.com/default.asp"
"PopShapes", "2D Physics Engine", "http://lab.andre-michelle.com/physics-engine/"
"Collision Detection Kit", "2D Physics Engine", "http://coreyoneil.com/portfolio/index.php?project=5"
"QuickBox2D", "A mini-library created to work with Box2DFlashAS3 2D Physics Engine", "http://actionsnippet.com/?page_id=1391"
"AS3Crypto", "Crypto library", "http://crypto.hurlant.com/"
"FLiNT", "Particle System", "http://flintparticles.org/"
"Pulse Particle System", "A general purpose AS3 particle system.", "http://www.rogue-development.com/pulseParticles.html"
"Orion", "An all around simple and flexible particle generator.", "http://blog.coursevector.com/orion"
"Flare", "Create interactive data visualizations for the web.", "http://flare.prefuse.org/"
"SomaLoader", "A lightweight loading manager written in AS3", "http://www.soundstep.com/blog/downloads/somaloader/"
"Cairngorm", "OOP Framework", "http://opensource.adobe.com/wiki/display/cairngorm/Cairngorm"
"PureMVC", "OOP Framework", "http://puremvc.org/"
"Mate", "OOP Framework", "http://mate.asfusion.com/"
"HydraMVC", "A rewrite of the PureMVC API exclusively for Flex", "http://www.hydramvc.com/"
"RobotLegs", "An Architectural (or Structural) Action Script 3 Framework", "http://shaun.boyblack.co.za/blog/category/robotlegs/"
"Gaia", "An open-source front-end Flash Framework for AS3 and AS2 designed to dramatically reduce development time", "http://www.gaiaflashframework.com/"
"LayerGlue", "A framework aimed at rapid website development for Flash & Flex.", "http://www.layerglue.com"
"Guasax", "an ease of use programming framework to provide ordered and scalable Flex applications", "http://www.guasax.com/"
"Parsley", "an application framework for Flex/Flash/AIR applications written in AS3", "http://www.spicefactory.org/parsley/"
"CASA Lib", "An Open Source Code Library for ActionScript 2.0 & 3.0", "http://casalib.org/"
"FlashMVC", "A flexable lightweight framework engine for AS3.", "http://www.flashmvc.com/"
"Soma and SomaUI", "An AS3 MVC framework and software to generate an AS3 flash site based on it.", "http://www.soundstep.com/blog/downloads/somaui/"
"Spring Actionscript", "An offshoot of the Java-based Spring Framework.", "http://www.springactionscript.org/"
"SmartyPants IOC", "Dependency Injection for Adobe Flex and Flash", "http://smartypants.expantra.net/"
"Yahoo Maps API", "Yahoo Maps API", "http://developer.yahoo.com/flash/maps/"
"FZip", "An Actionscript 3 class library to load, modify and create standard ZIP archives.", "http://codeazur.com.br/lab/fzip/"
"AS3 Zip Library", "An ActionScript 3 based library for reading and writing zip files.", "http://nochump.com/blog/?p=15"
"MapQuest", "MapQuest API", "http://company.mapquest.com/mqbs/4a.html"
"Modest Maps", "A display and interaction library for tile-based maps in Flash.", "http://www.modestmaps.com/"
"AsWing", "A GUI framework and library that allows programmers to make their flash application(or RIA) UI easily.", "http://www.aswing.org/"
"DistortionTweener", "Animation Tweening Engine", "http://evolve.reintroducing.com/2007/11/18/as3/as3-distortiontweener/"
"FC64", "an Open-Source Commodore 64 Emulator.", "https://mirror1.cvsdude.com/trac/osflash/fc64/"
"FVNC", "VNC Client for Flash Player 9 and above.", "http://osflash.org/fvnc"
"AS3 Parametric Curve Library", "AS3 Parametric Curve Library", "http://www.algorithmist.net/as3pc.html"
"AWI", "AMFPHP-WordPress Integration.", "http://www.klr20mg.com/awi/ (in Spanish)"
"ASAP Library", "A library for the development of maintainable, multi-movie, interactive applications.", "http://asaplibrary.org/"
"Wordpress XML-RPC API", "Wordpress XML-RPC API", "http://blog.absentdesign.com/?page_id=22"
"AlivePDF", "ActionScript 3 Open-Source PDF Library – 100% client side PDF generation.", "http://alivepdf.bytearray.org/"
"SWFAddress", "Deep linking for Flash.", "http://www.asual.com/swfaddress/"
"Yahoo Astra Flash Components", "description", "http://developer.yahoo.com/flash/astra-flash/"
"NabaztagAPI", "Nabaztag API wrapper for Actionscript 3.", "http://www.iotashan.com/NabaztagExplorer/"
"myLib", "A powerful open source framework designed for advanced components programming with Adobe Flash AS3 projects.", "http://mylib.samystudio.net/ "
"FDOT", "A collection of ActionScript 3 classes that make hard things easier.", "http://onflash.org/ted/2009/08/fdot-making-hard-things-easier.php"
"DirectorAS3", "Library for SlideShowPro Director", "http://www.tuftandco.net/DirectorAS3/"
"ARTionscript", "An AS3 Generative Art Framework", "http://artionscript.com/"
"ffffound-as3-api", "FFFFOUND! (unofficial) AS3 API", "http://toki-woki.net/blog/p336-ffffound-as3-api"
"HYPE Framework", "A collaborative visual framework (Branden Hall and Joshua Davis)", "http://hype.joshuadavis.com/"
"TempoLite", "A small, efficient media library", "http://blog.coursevector.com/tempolite"
"SoundManager", "Makes adding sounds to your projects super simple", "http://evolve.reintroducing.com/2008/07/15/news/as3-soundmanager/"
"TextFlowPro", "Enables you to flow a series of textfields together so that they act as a single text container", "http://www.gskinner.com/blog/archives/2009/01/editable_multif.html"
"AnimatedBitmap", "Provides functionality for Bitmap objects that are animated by using a series of still images", "http://blog.hexagonstar.com/animatedbitmapclass/"
"Active Window Blur", "Active Window Blur", "http://blog.onebyonedesign.com/?p=81"
"SWFsize", "Works with SWFObject and provides control over the swf's container metrics", "http://chargedweb.com/swfsize/"
"pipwerks.SCORM", "Adding basic SCORM functionality to an existing Flash file", "http://pipwerks.com/2008/04/27/how-to-add-basic-scorm-code-to-a-flash-movie/"
"OpenPyro", "An Open Source ActionScript 3 framework built for creating Rich Internet Applications", "http://www.openpyro.org/"
"TurboSignals", "A library implementing the signals and slots design pattern", "http://jacksondunstan.com/turbosignals"
"evoTinyEngine", "Demo scene engine", "http://www.simppa.fi/blog/opensource-demo-engine-evotinyengine/"
"XML-RPC", "Easy way to get Flash to transfer data with an XML-RPC endpoint", "http://danielmclaren.net/2007/08/03/xmlrpc-for-actionscript-30-free-library"
"BrowserCanvas", "The World’s Easiest Way to Dynamically Resize Flash", "http://www.dncompute.com/blog/2008/06/23/browsercanvas-the-worlds-easiest-way-to-dynamically-resize-flash.html"
"Chain", "Delayed function calling", "http://blog.stroep.nl/2009/11/delayed-function-calling-chain/"
"App Analytics", "Complete analyitics solution for Adobe AIR applications", "http://www.appanalyticshq.com/"
"Sprouts", "An open-source, cross-platform project generation and configuration tool", "http://projectsprouts.org/"
"ZaaIL", "Broad Image format support for Flash", "http://www.zaalabs.com/2010/04/introducing-zaail-40-image-format-support-for-flash/"
